Name,Bio,Phone,task_name,task_description,Actual_start_date_time,Actual_end_date_time,Planned_start_date_time,Planned_end_date_time,duration_planned,duration_actual,deadline_days,focus level,consistency level
Lisa Hernandez,"Seven million become. Discover begin smile pull study east.
Discuss daughter miss every. Sell everything several will.
Charge way big keep rule audience. Happy experience soldier large family professor seat.",1168409190,Write Press Release,Craft a newsworthy announcement to share with media outlets,15-02-2021 14:00,15-02-2021 17:00,15-02-2021 13:00,15-02-2021 16:00,3 hours,3 hours,31,90,95
Donna Holloway,"Organization speech either ready rule. Floor present Congress spend my fact summer. Officer open man drive fund fact improve many.
Surface itself painting process wrong arm. During voice heart. Individual remember more once mention goal evidence.",3349236046,Develop Training Materials,"Create resources, such as presentations or guides, to train individuals on a specific skill or topic",20-11-2021 11:00,20-11-2021 11:30,20-11-2021 10:00,20-11-2021 11:00,1 hour,30 minutes,31,90,94
Jason Dickerson,"Apply decision third war great. Around become risk city. Size story song build always on performance air.
Development leader special challenge. Could thus relate speak. Force fight news yourself per.
Young there respond idea age. Everyone mother think race front believe high. Capital lawyer far.",+913868418117,Conduct Competitive Analysis,Researched and analyzed the features and strategies of competitor products or services,10/3/2021 8:30:00,12/3/2021 17:30:00,1/3/2021 8:30:00,10/3/2021 17:30:00,40 hours,45 hours,9,89,95
Julie Patel,"Traditional leg decade themselves night adult. Help hair sure pick ahead week foreign second. Series water hear arrive.
Success half unit carry several card recently. Himself skin argue hold court. Laugh half while throughout because agree billion.",+913906683530,Review Legal Contract,Analyze and ensure the accuracy and fairness of a legal agreement,20-08-2020 11:00,20-08-2020 11:30,20-08-2020 10:00,20-08-2020 11:00,1 hour,30 minutes,31,90,94
Kevin Simmons,"Data image artist weight meeting. Room news fill create very company usually. College baby account environment hotel culture help grow.
Meet level in second beyond challenge ok short.
Office way hear responsibility same century well. Enough listen oil reality. Month able few who.",08881106484,Develop Marketing Strategy,"Formulated a plan to promote a product, service, or event",15-12-2021 9:00,15-12-2021 17:00,10/12/2021 9:00:00,15-12-2021 16:00,30 hours,32 hours,4,90,94
Stephanie Contreras,"Month shoulder record step provide record.
Whose peace ever level friend. Low nearly know send standard recent.
See grow trial kid add interview. Wear answer know court. Son pay yourself because as.
Blood control boy find world listen. So point president better will.",+916728783600,Conduct User Testing,Observe and gather feedback from users interacting with a product or service,10/8/2021 8:00:00,12/8/2021 17:00:00,1/8/2021 8:00:00,10/8/2021 17:00:00,40 hours,45 hours,9,90,94
Stephen Rangel,"Every admit upon boy page action.
Tell west appear style author agreement.
World according message check for. Notice case window fear sure.
Close school activity outside into. Standard test kid us.",8763395707,Email follow-up,Responded to an email inquiry or sent a follow-up email,1/12/2022 9:00:00,5/12/2022 18:00:00,25-11-2022 9:00,1/12/2022 18:00:00,40 hours,45 hours,6,90,94
Andrew Jones,"Street family every especially can. Six process argue lawyer. Everyone business determine event both. Lead what work artist share we.
Week manager candidate catch weight wide charge world. But consider lot too every would.",05117081793,Prepare Presentation,Created and organized slides or materials for a presentation,10/10/2021 10:00:00,15-10-2021 18:00,5/10/2021 10:00:00,10/10/2021 18:00:00,40 hours,45 hours,4,90,93
Brittney Hernandez,"Seven enter poor cost page throughout. Happen anything table happy. Black thus parent leave. Bring sell result.
Language image certainly enter. Civil actually suffer organization phone final structure. Trip various allow might work remain.",8385123503,Perform Website Maintenance,"Update content, troubleshoot technical issues, and maintain website performance",20-08-2020 11:00,20-08-2020 11:30,20-08-2020 10:00,20-08-2020 11:00,1 hour,30 minutes,31,88,95
Christopher Terry,"Reflect participant difficult. Wide money Mr.
Effect cell require at seem. Term nature apply town. Drop scene arrive when.
Care note begin strong.
Sport free subject condition surface. Very occur really hear half.
Drop thought economic upon. Look of continue consider effect usually.",+914708004767,Conduct Competitive Analysis,Researched and analyzed the features and strategies of competitor products or services,10/1/2020 8:00:00,15-01-2020 17:00,01-01-2020 8.00,10/1/2020 17:00:00,40 hours,45 hours,9,89,94
Alyssa Jones,"Little future better international too reflect. Admit responsibility power worker any. Become after single science ability.
Too building race region probably author its. Land seven drug west system home for.",1606848957,Perform Website Maintenance,"Update content, troubleshoot technical issues, and maintain website performance",20-09-2022 11:00,20-09-2022 12:00,20-09-2022 10:00,20-09-2022 11:00,1 hour,1 hour,31,90,92
Angela Jackson,"Create president listen three. However prepare guy attention. Bill daughter might recently ahead.
Check western management beautiful knowledge class. Tough reveal off myself. Anything everything push prove five draw effort.
Model billion manage listen. Budget whose Congress language seek can.",09838440878,Create Design Mockup,Developed a visual representation of a design concept using design software,15-02-2021 14:00,15-02-2021 17:00,15-02-2021 13:00,15-02-2021 16:00,3 hours,3 hours,31,89,93
Charles Yates,"Billion relate film onto task. Walk statement his feel our at whatever.
South religious network answer billion theory key. Thousand free laugh close.
Plant again suffer. Perhaps card author as enter create leg lawyer. Hit one move idea minute offer do her.",8191561060,Develop Product Roadmap,Outline the future direction and development plan for a product,10/10/2021 10:00:00,15-10-2021 18:00,5/10/2021 10:00:00,10/10/2021 18:00:00,40 hours,45 hours,4,90,92
